product_id,name,url,collection,category,color,price,original_price,discount_pct,sizes,description,composition,availability_text,image_urls,source,collected_at,price_source,price_confidence,price_http_status,price_error
3815,Biquíni Hess Pérola,https://www.intibrand.com/produto/biquini-hess-perola-3815,VERÃO 2027,Biquínis,Pérola,112.5,299.5,62.44,PP|P|M|G|GG,"Biquíni com design orgânico, top com curvas sinuosas que encaixam paralelamente a hot pants. Modelo sem fecho posterior. Composição: 84% Poliamida 16% Elastano. Composição do forro: 92,6% Poliéster 7,4% Elastano. Modelo veste PP.","84% Poliamida 16% Elastano. Composição do forro: 92,6% Poliéster 7,4% Elastano.",unavailable,https://cdn.vnda.com.br/intibrand/2023/07/18/18_04_41_571_18_7_4_467_biquc38dni20hess20pc389rola20frente20220revisada.jpg?v=1689714286,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4872,Biquíni Landon Preto,https://www.intibrand.com/produto/biquini-landon-preto-4872,VERÃO 2027,Biquínis,Preto,320.0,849.0,62.31,PP|P|M|G,"O Biquíni Landon tem design minimalista e elegante. O top de um ombro só valoriza o colo, enquanto a calcinha traz como destaque o aviamento em gota na lateral, um detalhe sutil e muito especial. Composição: 84% Poliamida / 16% Elastano Modelo veste PP.",84% Poliamida / 16% Elastano,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2026/04/01/17_47_57_945_gaby-20v-c3-8ddeos-20-20-story-20-202026-04-01t174741-851-17044590.jpg?v=1775076477,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4873,Biquíni Landon Marrom,https://www.intibrand.com/produto/biquini-landon-marrom-4873,VERÃO 2027,Biquínis,Marrom,320.0,849.0,62.31,PP|P|M|G,"O Biquíni Landon tem design minimalista e elegante. O top de um ombro só valoriza o colo, enquanto a calcinha traz como destaque o aviamento em gota na lateral, um detalhe sutil e muito especial. Composição: 87% Poliéster / 13% Elastano Modelo veste PP.",87% Poliéster / 13% Elastano,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2026/04/01/17_43_56_450_gaby-20v-c3-8ddeos-20-20-story-20-202026-04-01t174316-906-17043150.jpg?v=1775076246,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4871,Biquíni Landon Pérola,https://www.intibrand.com/produto/biquini-landon-perola-4871,VERÃO 2027,Biquínis,Pérola,320.0,849.0,62.31,PP|P|M|G,"O Biquíni Landon tem design minimalista e elegante. O top de um ombro só valoriza o colo, enquanto a calcinha traz como destaque o aviamento em gota na lateral, um detalhe sutil e muito especial. Composição: 84% Poliamida / 16% Elastano Modelo veste PP.",84% Poliamida / 16% Elastano,unavailable,https://cdn.vnda.com.br/intibrand/2026/04/01/17_45_20_830_gaby-20v-c3-8ddeos-20-20-story-20-202026-04-01t174442-837-17045660.jpg?v=1775076320,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4736,Biquíni Harper Preto,https://www.intibrand.com/produto/biquini-harper-preto-4736,VERÃO 2027,Biquínis,Preto,116.0,299.5,61.27,PP|P|M|G,"O top do Biquíni Harper possui decote em V profundo, que valoriza o colo e se destaca pelo aviamento niquelado. As alças mais largas oferecem excelente sustentação, enquanto a calcinha com amarração lateral garante ajuste perfeito ao corpo, com personalidade. Modelo veste PP.",,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2025/12/01/18_00_20_850_biqu-c3-8dni-20harper-20preto-20frente-18124080.jpg?v=1764622829,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4997,Biquíni Lorian Off-White,https://www.intibrand.com/produto/biquini-lorian-off-white-4997,VERÃO 2027,Biquínis,Off White,232.0,599.0,61.27,PP|P|M|G|GG,"O Biquíni Lorian combina linhas minimalistas e detalhes marcantes para um visual sofisticado no verão. O design do top possui drapeado delicado lateral e aplicação metálica central confere charme e elegância, enquanto a calcinha de amarração lateral garante um caimento confortável e valoriza a silhueta. A escolha perfeita para quem busca estilo e sofisticação. Confeccionado em malha fluity. Modelo veste PP.",,unavailable,https://cdn.vnda.com.br/intibrand/2026/08/19/13_58_25_377_biqu-c3-8dni-20lorian-20off-white-20frente-201-13085990.jpg?v=1787158709,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4624,Biquíni Peter Cobre,https://www.intibrand.com/produto/biquini-peter-cobre-4624,VERÃO 2027,Biquínis,Cobre,116.0,299.5,61.27,PP|P|M|G,"O grande destaque do Biquíni Peter é seu aviamento orgânico no top, que adiciona um efeito moderno e futurista, tornando o design super inovador. As alças reguláveis garantem o ajuste perfeito, enquanto a calcinha, de modelagem slim, valoriza a silhueta. Modelo veste PP.",,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2025/09/24/09_52_40_416_biqu-c3-8dni-20peter-20cobre-20com-20al-c3-87a-09097540.jpg?v=1758718363,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4998,Biquíni Lorian Preto,https://www.intibrand.com/produto/biquini-lorian-preto-4998,VERÃO 2027,Biquínis,Preto,232.0,599.0,61.27,PP|P|M|G|GG,"O Biquíni Lorian combina linhas minimalistas e detalhes marcantes para um visual sofisticado no verão. O design do top possui drapeado delicado lateral e aplicação metálica central confere charme e elegância, enquanto a calcinha de amarração lateral garante um caimento confortável e valoriza a silhueta. A escolha perfeita para quem busca estilo e sofisticação. Confeccionado em malha fluity. Modelo veste PP.",,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2026/08/19/17_39_09_126_biqu-c3-8dni-20lorian-20preto-20frente-201-17089320.jpg?v=1787171958,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4623,Biquíni Peter Preto,https://www.intibrand.com/produto/biquini-peter-preto-4623,VERÃO 2027,Biquínis,Preto,116.0,299.5,61.27,PP|P|M|G,"O grande destaque do Biquíni Peter é seu aviamento orgânico no top, que adiciona um efeito moderno e futurista, tornando o design super inovador. As alças reguláveis garantem o ajuste perfeito, enquanto a calcinha, de modelagem slim, valoriza a silhueta. Modelo veste PP.",,partial_or_variant_unavailable,https://cdn.vnda.com.br/intibrand/2025/09/24/09_53_21_623_biqu-c3-8dni-20peter-20preto-20com-20al-c3-87a-09098730.jpg?v=1758718405,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
4735,Biquíni Harper Pérola,https://www.intibrand.com/produto/biquini-harper-perola-4735,VERÃO 2027,Biquínis,Pérola,116.0,299.5,61.27,PP|P|M|G,"O top do Biquíni Harper possui decote em V profundo, que valoriza o colo e se destaca pelo aviamento niquelado. As alças mais largas oferecem excelente sustentação, enquanto a calcinha com amarração lateral garante ajuste perfeito ao corpo, com personalidade. Modelo veste PP.",,unavailable,https://cdn.vnda.com.br/intibrand/2025/12/01/18_02_43_458_biqu-c3-8dni-20harper-20p-c3-89rola-20frente-18128080.jpg?v=1764623013,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
3902,Biquíni Mies Azul Turquesa,https://www.intibrand.com/produto/biquini-mies-azul-turquesa-3902,VERÃO 2027,Biquínis,Azul Turquesa,105.0,269.5,61.04,PP|P|M|G|GG,Biquíni com top meia taça liso com tecido wavy sobreposto. As alças possuem regulador banhado e fecho posterior. Calcinha estilo asa delta em tecido wavy. Composição tecido liso: 87% Poliamida 13% Elastano Tecido wavy: 98% Poliamida 2% Elastano. Modelo veste PP.,,unavailable,https://cdn.vnda.com.br/intibrand/2023/12/02/17_53_41_648_17_12_5_540_biquc38dni20mies20azul20turquesa20frente.jpg?v=1701550473,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
3904,Biquíni Mies Off-White,https://www.intibrand.com/produto/biquini-mies-off-white-3904,VERÃO 2027,Biquínis,Off White,105.0,269.5,61.04,PP|P|M|G|GG,"Biquíni com top meia taça liso com tecido wavy sobreposto. As alças possuem regulador banhado e fecho posterior. Calcinha estilo asa delta em tecido wavy. Composição tecido liso: 87% Poliamida 13% Elastano Tecido wavy: 98% Poliamida 2% Elastano, Forro: 92,6% Poliéster 7,4% Elastano. Modelo veste PP.",,unavailable,https://cdn.vnda.com.br/intibrand/2023/12/02/17_54_25_10_17_12_7_715_biquc38dni20mies20offwhite20frente20.jpg?v=1701550591,public_catalog,2026-08-24T17:28:30.310313-03:00,jsonld:price,HIGH,200,
