product_id,name,category,color,old_price,new_price,old_discount_pct,new_discount_pct,old_in_sale,new_in_sale,price_changed,markdown_changed
4809,Body Steffano Marrom,Bodies,Marrom,689.0,689.0,,,False,False,False,False
4810,Macacão Megan Off-White,Macacões,Off White,1789.0,1789.0,,,False,False,False,False
4811,Macacão Megan Preto,Macacões,Preto,1789.0,1789.0,,,False,False,False,False
4812,Macacão Megan Vermelho,Macacões,Vermelho,1789.0,1789.0,,,False,False,False,False
4813,Vestido Tricot Aubrey Preto com Off-White,Vestidos,Off White,1789.0,1789.0,,,False,False,False,False
4814,Vestido Tricot Aubrey Bege,Vestidos,Bege,1789.0,1789.0,,,False,False,False,False
4815,Vestido Tricot Aubrey Vermelho,Vestidos,Vermelho,1789.0,1789.0,,,False,False,False,False
4816,Body Chiara Off-White,Bodies,Off White,989.0,989.0,,,False,False,False,False
4818,Body Chiara Marrom,Bodies,Marrom,989.0,989.0,,,False,False,False,False
4819,Biquíni Vitto Pérola,Biquínis,Pérola,232.0,232.0,59.93,59.93,True,True,False,False
4820,Biquíni Vitto Preto,Biquínis,Preto,232.0,232.0,59.93,59.93,True,True,False,False
4821,Biquíni Vitto Azul Marinho,Biquínis,Azul Marinho,232.0,232.0,59.93,59.93,True,True,False,False
4822,Vestido Dylan Off-White,Vestidos,Off White,1689.0,1689.0,,,False,False,False,False
4823,Vestido Dylan Preto,Vestidos,Preto,1689.0,1689.0,,,False,False,False,False
4824,Vestido Dylan Vermelho,Vestidos,Vermelho,1689.0,1689.0,,,False,False,False,False
4825,Body Dominic Pérola,Bodies,Pérola,649.0,649.0,,,False,False,False,False
4826,Body Dominic Preto,Bodies,Preto,649.0,649.0,,,False,False,False,False
4827,Body Dominic Marrom,Bodies,Marrom,649.0,649.0,,,False,False,False,False
4828,Body Emma Off-White,Bodies,Off White,789.0,789.0,,,False,False,False,False
4829,Body Emma Preto,Bodies,Preto,789.0,789.0,,,False,False,False,False
4830,Body Mattia Off-White,Bodies,Off White,649.0,649.0,,,False,False,False,False
4831,Body Mattia Preto,Bodies,Preto,649.0,649.0,,,False,False,False,False
4832,Body Mattia Marrom,Bodies,Marrom,649.0,649.0,,,False,False,False,False
4833,Body Rocco Off-White,Bodies,Off White,749.0,749.0,,,False,False,False,False
4834,Body Rocco Preto,Bodies,Preto,749.0,749.0,,,False,False,False,False
4838,Blusa Percy Off-White,Blusas,Off White,989.0,989.0,,,False,False,False,False
4839,Blusa Percy Preto,Blusas,Preto,989.0,989.0,,,False,False,False,False
4840,Vestido Ivory Off-White,Vestidos,Off White,1989.0,1989.0,,,False,False,False,False
4841,Vestido Ivory Preto,Vestidos,Preto,1989.0,1989.0,,,False,False,False,False
4842,Vestido Ivory Fúcsia,Vestidos,Fúcsia,1989.0,1989.0,,,False,False,False,False
4843,Vestido Ivory Azul,Vestidos,Azul,1989.0,1989.0,,,False,False,False,False
4844,Blazer Vestido Dustin Off-White,Blazers,Off White,1689.0,1689.0,,,False,False,False,False
4845,Blazer Vestido Dustin Preto,Blazers,Preto,1689.0,1689.0,,,False,False,False,False
4846,Blazer Vestido Dustin Vermelho,Blazers,Vermelho,1689.0,1689.0,,,False,False,False,False
4847,Blazer Vestido Vincent Off-White,Blazers,Off White,1799.0,1799.0,,,False,False,False,False
4848,Blazer Vestido Vincent Preto,Blazers,Preto,1799.0,1799.0,,,False,False,False,False
4849,Blazer Vestido Vincent Caramelo,Blazers,Caramelo,1799.0,1799.0,,,False,False,False,False
4850,Vestido Filippo Off-White,Vestidos,Off White,1789.0,1789.0,,,False,False,False,False
4851,Vestido Filippo Preto,Vestidos,Preto,1789.0,1789.0,,,False,False,False,False
4852,Vestido Filippo Azul,Vestidos,Azul,1789.0,1789.0,,,False,False,False,False
4853,Macacão Amber Off-White,Macacões,Off White,1789.0,1789.0,,,False,False,False,False
4854,Macacão Amber Preto,Macacões,Preto,1789.0,1789.0,,,False,False,False,False
4855,Macacão Amber Vermelho,Macacões,Vermelho,1789.0,1789.0,,,False,False,False,False
4856,Pareô Marrom,Pareôs,Marrom,459.0,459.0,,,False,False,False,False
4857,Pareô Grazia Pérola,Pareôs,Pérola,739.0,739.0,,,False,False,False,False
4858,Pareô Grazia Preto,Pareôs,Preto,739.0,739.0,,,False,False,False,False
4859,Pareô Grazia Marrom,Pareôs,Marrom,739.0,739.0,,,False,False,False,False
4860,Saia Riley Off-White,Saias,Off White,859.0,859.0,,,False,False,False,False
4861,Saia Riley Preto,Saias,Preto,859.0,859.0,,,False,False,False,False
4862,Cropped Carlo Off-White,Croppeds,Off White,859.0,859.0,,,False,False,False,False
4863,Cropped Carlo Preto,Croppeds,Preto,859.0,859.0,,,False,False,False,False
4864,Vestido Tucker Off-White,Vestidos,Off White,1789.0,1789.0,,,False,False,False,False
4866,Vestido Tucker Vermelho,Vestidos,Vermelho,1789.0,1789.0,,,False,False,False,False
4867,Biquíni Alann Pérola,Biquínis,Pérola,220.0,220.0,68.53,68.53,True,True,False,False
4868,Biquíni Alann Preto,Biquínis,Preto,220.0,220.0,68.53,68.53,True,True,False,False
4870,Biquíni Alann Marrom,Biquínis,Marrom,220.0,220.0,68.53,68.53,True,True,False,False
4871,Biquíni Landon Pérola,Biquínis,Pérola,320.0,320.0,62.31,62.31,True,True,False,False
4872,Biquíni Landon Preto,Biquínis,Preto,320.0,320.0,62.31,62.31,True,True,False,False
4873,Biquíni Landon Marrom,Biquínis,Marrom,320.0,320.0,62.31,62.31,True,True,False,False
4882,Biquíni Easton Off-White,Biquínis,Off White,232.0,232.0,60.61,60.61,True,True,False,False
4883,Biquíni Easton Preto,Biquínis,Preto,232.0,232.0,60.61,60.61,True,True,False,False
4884,Biquíni Easton Azul Marinho,Biquínis,Azul Marinho,232.0,232.0,60.61,60.61,True,True,False,False
4885,Biquíni Easton Marrom,Biquínis,Marrom,232.0,232.0,60.61,60.61,True,True,False,False
4890,Blazer Vestido Darleen Preto,Blazers,Preto,1789.0,1789.0,,,False,False,False,False
4891,Blazer Vestido Darleen Marrom,Blazers,Marrom,1789.0,1789.0,,,False,False,False,False
4892,Blazer Carmine Off-White,Blazers,Off White,1589.0,1589.0,,,False,False,False,False
4893,Blazer Carmine Preto,Blazers,Preto,1589.0,1589.0,,,False,False,False,False
4894,Blazer Carmine Caramelo,Blazers,Caramelo,1589.0,1589.0,,,False,False,False,False
4896,Blusa Cesare Preto,Blusas,Preto,859.0,859.0,,,False,False,False,False
4898,Blusa Tommaso Preto,Blusas,Preto,859.0,859.0,,,False,False,False,False
4899,Calça Jeans Malcolm Azul Claro,Calças,Azul,859.0,859.0,,,False,False,False,False
4900,Calça Jeans Malcolm Azul Escuro,Calças,Azul,859.0,859.0,,,False,False,False,False
4901,Short Caleb Off-White,Shorts,Off White,689.0,689.0,,,False,False,False,False
4902,Short Caleb Preto,Shorts,Preto,689.0,689.0,,,False,False,False,False
4904,BODY CHIARA + PANTALONA SAVOYE | OFF-WHITE,Bodies,Off White,1822.1,1822.1,,,False,False,False,False
4905,BLUSA ZENO + CALÇA ZENO | OFF-WHITE,Blusas,Off White,,,,,False,False,False,False
4906,BLUSA ZENO + CALÇA ZENO | PRETO,Blusas,Preto,,,,,False,False,False,False
4907,BIQUÍNI EASTON + PAREÔ | MARROM,Biquínis,Marrom,995.6,995.6,,,False,False,False,False
4908,Corselet Steven Off-White,,Off White,869.0,869.0,,,False,False,False,False
4909,Corselet Steven Preto,,Preto,869.0,869.0,,,False,False,False,False
4910,Corselet Steven Marrom,,Marrom,869.0,869.0,,,False,False,False,False
4911,BODY EMMA + PANTALONA BRAXTON | PRETO,Bodies,Preto,1689.1,1689.1,,,False,False,False,False
4912,BODY EMMA + PANTALONA BRAXTON | OFF-WHITE,Bodies,Off White,1689.1,1689.1,,,False,False,False,False
4916,BLUSA PERCY + SAIA REMMY | PRETO,Blusas,Preto,1879.1,1879.1,,,False,False,False,False
4917,BLUSA TOMMASO + SAIA RILEY | PRETO,Blusas,Preto,1632.1,1632.1,,,False,False,False,False
4918,BLUSA CESARE + SAIA RILEY | OFF-WHITE,Blusas,Off White,1632.1,1632.1,,,False,False,False,False
4919,BODY ROCCO + PANTALONA FLARE | OFF-WHITE,Bodies,Off White,1651.1,1651.1,,,False,False,False,False
4920,BODY ROCCO + PANTALONA FLARE | PRETO,Bodies,Preto,1651.1,1651.1,,,False,False,False,False
4921,BIQUÍNI EASTON + PAREÔ | OFF-WHITE,Biquínis,Off White,1048.0,1048.0,,,False,False,False,False
4922,BIQUÍNI EASTON + PAREÔ GRAZIA | PRETO,Biquínis,Preto,1261.6,1261.6,,,False,False,False,False
4923,BIQUÍNI VITTO + PAREÔ | PRETO,Biquínis,Preto,986.1,986.1,,,False,False,False,False
4924,BIQUÍNI VITTO + PAREÔ GRAZIA | PÉROLA,Biquínis,Pérola,1252.1,1252.1,,,False,False,False,False
4925,CORSELET KIMBELL + PANTALONA SAVOYE | PRETO,,Preto,1822.1,1822.1,,,False,False,False,False
4926,CORSELET KIMBELL + PANTALONA SAVOYE | OFF-WHITE,,Off White,1822.1,1822.1,,,False,False,False,False
4927,BLUSA TOMMASO + SHORT CALEB | OFF-WHITE,Blusas,Off White,,,,,False,False,False,False
4928,BODY EMMA + SHORT CALEB | PRETO,Bodies,Preto,1404.1,1404.1,,,False,False,False,False
4930,BLUSA PERCY OFF-WHITE + CALÇA JEANS MALCOLM AZUL CLARO,Blusas,Off White,1755.6,1755.6,,,False,False,False,False
4931,BLUSA PERCY PRETA + CALÇA JEANS MALCOLM AZUL ESCURO,Blusas,Azul,1755.6,1755.6,,,False,False,False,False
4933,Vestido Osbert Off-White,Vestidos,Off White,2289.0,2289.0,,,False,False,False,False
4934,Vestido Osbert Preto,Vestidos,Preto,2289.0,2289.0,,,False,False,False,False
4936,Vestido Osbert Marrom,Vestidos,Marrom,2289.0,2289.0,,,False,False,False,False
4940,Blusa Alexis Off-White,Blusas,Off White,989.0,989.0,,,False,False,False,False
4941,Blusa Alexis Preto,Blusas,Preto,989.0,989.0,,,False,False,False,False
4947,Vestido Warren Off-White,Vestidos,Off White,1789.0,1789.0,,,False,False,False,False
4948,Vestido Warren Preto,Vestidos,Preto,1789.0,1789.0,,,False,False,False,False
4949,Vestido Warren Marrom,Vestidos,Marrom,1789.0,1789.0,,,False,False,False,False
4950,Vestido Brent Off-White,Vestidos,Off White,1589.0,1589.0,,,False,False,False,False
4951,Vestido Brent Preto,Vestidos,Preto,1589.0,1589.0,,,False,False,False,False
4952,Vestido Brent Marrom,Vestidos,Marrom,1589.0,1589.0,,,False,False,False,False
4953,BLAZER CARMINE + PANTALONA SAVOYE | OFF-WHITE,Blazers,Off White,2392.1,2392.1,,,False,False,False,False
