product,category,neighbor,neighbor_category,rank,similarity_pct
Biquíni Atticus Pérola,Biquínis,Biquíni Eaton Pérola,Biquínis,2,99.7
Biquíni Atticus Pérola,Biquínis,Biquíni Julian Pérola,Biquínis,3,99.36
Biquíni Atticus Pérola,Biquínis,Biquíni Malawi Pérola,Biquínis,4,99.17
Biquíni Atticus Pérola,Biquínis,Biquíni Hali Pérola,Biquínis,5,99.08
Biquíni Atticus Pérola,Biquínis,Biquíni Bercy Pérola,Biquínis,6,98.82
Biquíni Atticus Terracota,Biquínis,Biquíni Atticus Pérola,Biquínis,1,90.31
Biquíni Atticus Terracota,Biquínis,Biquíni Eaton Cobre,Biquínis,2,90.03
Biquíni Atticus Terracota,Biquínis,Biquíni Eaton Preto,Biquínis,3,90.03
Biquíni Atticus Terracota,Biquínis,Biquíni Eaton Pérola,Biquínis,4,90.03
Biquíni Atticus Terracota,Biquínis,Biquíni Riva Azul Índigo,Biquínis,5,90.0
Biquíni Atticus Terracota,Biquínis,Biquíni Riva Preto,Biquínis,6,90.0
Biquíni Azov Preto,Biquínis,Biquíni Menorca Preto,Biquínis,1,99.73
Biquíni Azov Preto,Biquínis,Biquíni Mies Preto,Biquínis,2,99.63
Biquíni Azov Preto,Biquínis,Biquíni Kobe Preto,Biquínis,3,98.71
Biquíni Azov Preto,Biquínis,Biquíni Vince Preto,Biquínis,4,98.71
Biquíni Azov Preto,Biquínis,Biquíni Alessio Preto,Biquínis,5,94.92
Biquíni Azov Preto,Biquínis,Biquíni Galea Preto,Biquínis,6,94.2
Biquíni Bardi Cobre,Biquínis,Biquíni Peter Cobre,Biquínis,1,98.92
Biquíni Bardi Cobre,Biquínis,Biquíni Miller Cobre,Biquínis,2,98.73
Biquíni Bardi Cobre,Biquínis,Biquíni Capanema Cobre,Biquínis,3,97.52
Biquíni Bardi Cobre,Biquínis,Biquíni Eaton Cobre,Biquínis,4,95.6
Biquíni Bardi Cobre,Biquínis,Biquíni Duncan Cobre,Biquínis,5,93.01
Biquíni Bardi Cobre,Biquínis,Biquíni Kobe Cobre,Biquínis,6,92.8
Biquíni Bardi Off-White,Biquínis,Biquíni Arenella Off-White,Biquínis,1,99.68
Biquíni Bardi Off-White,Biquínis,Biquíni Bernie Off-White,Biquínis,2,94.6
Biquíni Bardi Off-White,Biquínis,Biquíni Marzan Off-White,Biquínis,3,94.27
Biquíni Bardi Off-White,Biquínis,Biquíni Mies Off-White,Biquínis,4,91.53
Biquíni Bardi Off-White,Biquínis,Biquíni Nari Off-White,Biquínis,5,91.1
Biquíni Bardi Off-White,Biquínis,Biquíni Sopka Off-White,Biquínis,6,89.83
Biquíni Bardi Preto,Biquínis,Biquíni Arenella Preto,Biquínis,1,99.68
Biquíni Bardi Preto,Biquínis,Biquíni Peter Preto,Biquínis,2,98.92
Biquíni Bardi Preto,Biquínis,Biquíni Harper Preto,Biquínis,3,98.92
Biquíni Bardi Preto,Biquínis,Biquíni Miller Preto,Biquínis,4,98.73
Biquíni Bardi Preto,Biquínis,Biquíni Perez Preto,Biquínis,5,98.73
Biquíni Bardi Preto,Biquínis,Biquíni Galea Preto,Biquínis,6,97.58
Biquíni Bercy Pérola,Biquínis,Biquíni Malawi Pérola,Biquínis,1,99.97
Biquíni Bercy Pérola,Biquínis,Biquíni Eaton Pérola,Biquínis,2,99.67
Biquíni Bercy Pérola,Biquínis,Biquíni Riva Pérola,Biquínis,3,99.02
Biquíni Bercy Pérola,Biquínis,Biquíni Atticus Pérola,Biquínis,4,98.82
Biquíni Bercy Pérola,Biquínis,Biquíni Julian Pérola,Biquínis,5,96.46
Biquíni Bercy Pérola,Biquínis,Biquíni Hali Pérola,Biquínis,6,95.85
Biquíni Bercy Preto,Biquínis,Biquíni Eaton Preto,Biquínis,1,99.67
Biquíni Bercy Preto,Biquínis,Biquíni Riva Preto,Biquínis,2,99.02
Biquíni Bercy Preto,Biquínis,Biquíni Julian Preto,Biquínis,3,96.46
Biquíni Bercy Preto,Biquínis,Biquíni Dion Preto,Biquínis,4,95.85
Biquíni Bercy Preto,Biquínis,Biquíni Hali Preto,Biquínis,5,95.85
Biquíni Bercy Preto,Biquínis,Biquíni Marzan Preto,Biquínis,6,95.85
Biquíni Bernie Off-White,Biquínis,Biquíni Marzan Off-White,Biquínis,1,99.96
Biquíni Bernie Off-White,Biquínis,Biquíni Nari Off-White,Biquínis,2,98.7
Biquíni Bernie Off-White,Biquínis,Biquíni Arenella Off-White,Biquínis,3,95.44
Biquíni Bernie Off-White,Biquínis,Biquíni Bardi Off-White,Biquínis,4,94.6
Biquíni Bernie Off-White,Biquínis,Biquíni Sopka Off-White,Biquínis,5,91.24
Biquíni Bernie Off-White,Biquínis,Biquíni Marzan Preto,Biquínis,6,89.92
Biquíni Bonneville Pérola,Biquínis,Biquíni Alann Pérola,Biquínis,1,99.12
Biquíni Bonneville Pérola,Biquínis,Biquíni Vitto Pérola,Biquínis,2,98.8
Biquíni Bonneville Pérola,Biquínis,Biquíni Landon Pérola,Biquínis,3,97.22
Biquíni Bonneville Pérola,Biquínis,Biquíni Finca Pérola,Biquínis,4,94.9
Biquíni Bonneville Pérola,Biquínis,Biquíni Bonneville Preto,Biquínis,5,92.51
Biquíni Bonneville Pérola,Biquínis,Biquíni Castillo Preto,Biquínis,6,92.41
Biquíni Bonneville Preto,Biquínis,Biquíni Castillo Preto,Biquínis,1,99.58
Biquíni Bonneville Preto,Biquínis,Biquíni Alann Preto,Biquínis,2,99.12
Biquíni Bonneville Preto,Biquínis,Biquíni Easton Preto,Biquínis,3,99.02
Biquíni Bonneville Preto,Biquínis,Biquíni Vitto Preto,Biquínis,4,98.8
Biquíni Bonneville Preto,Biquínis,Biquíni Taut Preto,Biquínis,5,97.85
Biquíni Bonneville Preto,Biquínis,Biquíni Landon Preto,Biquínis,6,97.22
Biquíni Capanema Cobre,Biquínis,Biquíni Miller Cobre,Biquínis,1,99.75
Biquíni Capanema Cobre,Biquínis,Biquíni Peter Cobre,Biquínis,2,99.57
Biquíni Capanema Cobre,Biquínis,Biquíni Bardi Cobre,Biquínis,3,97.52
Biquíni Capanema Cobre,Biquínis,Biquíni Kobe Cobre,Biquínis,4,93.91
Biquíni Capanema Cobre,Biquínis,Biquíni Duncan Cobre,Biquínis,5,93.78
Biquíni Capanema Cobre,Biquínis,Biquíni Eaton Cobre,Biquínis,6,92.29
Biquíni Capanema Pérola,Biquínis,Biquíni Perez Pérola,Biquínis,1,99.75
Biquíni Capanema Pérola,Biquínis,Biquíni Harper Pérola,Biquínis,2,99.57
Biquíni Capanema Pérola,Biquínis,Biquíni Hali Pérola,Biquínis,3,95.63
Biquíni Capanema Pérola,Biquínis,Biquíni Julian Pérola,Biquínis,4,95.39
Biquíni Capanema Pérola,Biquínis,Biquíni Atticus Pérola,Biquínis,5,94.05
Biquíni Capanema Pérola,Biquínis,Biquíni Conti Pérola,Biquínis,6,94.01
Biquíni Capanema Preto,Biquínis,Biquíni Galea Preto,Biquínis,1,99.93
Biquíni Capanema Preto,Biquínis,Biquíni Perez Preto,Biquínis,2,99.75
Biquíni Capanema Preto,Biquínis,Biquíni Miller Preto,Biquínis,3,99.75
Biquíni Capanema Preto,Biquínis,Biquíni Peter Preto,Biquínis,4,99.57
Biquíni Capanema Preto,Biquínis,Biquíni Harper Preto,Biquínis,5,99.57
Biquíni Capanema Preto,Biquínis,Biquíni Arenella Preto,Biquínis,6,98.97
Biquíni Castillo Off-White,Biquínis,Biquíni Easton Off-White,Biquínis,1,98.95
Biquíni Castillo Off-White,Biquínis,Biquíni Taut Off-White,Biquínis,2,97.49
Biquíni Castillo Off-White,Biquínis,Biquíni Lorian Off-White,Biquínis,3,95.73
Biquíni Castillo Off-White,Biquínis,Biquíni Alann Preto,Biquínis,4,93.29
Biquíni Castillo Off-White,Biquínis,Biquíni Alann Pérola,Biquínis,5,93.29
Biquíni Castillo Off-White,Biquínis,Biquíni Alann Marrom,Biquínis,6,93.29
Biquíni Castillo Preto,Biquínis,Biquíni Alann Preto,Biquínis,1,99.91
Biquíni Castillo Preto,Biquínis,Biquíni Bonneville Preto,Biquínis,2,99.58
Biquíni Castillo Preto,Biquínis,Biquíni Easton Preto,Biquínis,3,98.95
Biquíni Castillo Preto,Biquínis,Biquíni Vitto Preto,Biquínis,4,98.66
Biquíni Castillo Preto,Biquínis,Biquíni Taut Preto,Biquínis,5,97.49
